Date,Apple,Boeing,Nvdia,Palantir,Pfizer,Tesla,Netflix,Meta,Intel,LMT,Rivian
11/11/2022,$149.70 ,$177.49 ,$16.33 ,$8.41 ,$47.60 ,$195.97 ,$290.13 ,$113.02 ,$30.43 ,$463.86 ,$34.90
11/4/2022,$138.38 ,$160.01 ,$14.16 ,$7.93 ,$47.22 ,$207.47 ,$260.79 ,$90.79 ,$28.20 ,$481.67 ,$31.99
10/28/2022,$155.74 ,$143.84 ,$13.83 ,$8.64 ,$47.43 ,$228.52 ,$295.72 ,$99.20 ,$29.07 ,$484.87 ,$34.48
10/21/2022,$147.27 ,$141.32 ,$12.47 ,$8.29 ,$44.95 ,$214.44 ,$289.57 ,$130.01 ,$26.97 ,$454.61 ,$31.92
10/14/2022,$138.38 ,$133.15 ,$11.23 ,$7.53 ,$42.86 ,$204.99 ,$230.00 ,$126.76 ,$25.91 ,$389.41 ,$28.71
10/7/2022,$140.09 ,$129.79 ,$12.08 ,$8.15 ,$42.32 ,$223.07 ,$224.75 ,$133.45 ,$25.72 ,$403.96 ,$33.95
9/30/2022,$138.20 ,$121.08 ,$12.14 ,$8.13 ,$43.76 ,$265.25 ,$235.44 ,$135.68 ,$25.77 ,$386.29 ,$32.91
9/23/2022,$150.43 ,$131.26 ,$12.52 ,$7.40 ,$44.08 ,$275.33 ,$226.41 ,$140.41 ,$27.52 ,$413.07 ,$33.56
9/16/2022,$150.70 ,$144.29 ,$13.20 ,$7.78 ,$46.03 ,$303.35 ,$240.13 ,$146.29 ,$29.24 ,$414.29 ,$39.26
9/9/2022,$157.37 ,$157.52 ,$14.39 ,$7.79 ,$47.84 ,$299.68 ,$233.57 ,$169.15 ,$31.46 ,$421.53 ,$37.55
9/2/2022,$155.81 ,$151.82 ,$13.65 ,$7.40 ,$45.70 ,$270.21 ,$226.11 ,$160.32 ,$31.22 ,$418.57 ,$32.07
8/26/2022,$163.62 ,$164.53 ,$16.26 ,$7.94 ,$46.82 ,$288.09 ,$223.28 ,$161.78 ,$33.36 ,$431.13 ,$32.11
8/19/2022,$171.52 ,$162.92 ,$17.85 ,$8.51 ,$49.15 ,$296.67 ,$241.16 ,$167.96 ,$35.38 ,$440.03 ,$34.45
8/12/2022,$172.10 ,$169.99 ,$18.71 ,$9.91 ,$50.11 ,$300.03 ,$249.30 ,$180.50 ,$36.11 ,$434.24 ,$38.90
8/5/2022,$165.35 ,$165.04 ,$18.99 ,$11.45 ,$49.27 ,$288.17 ,$226.78 ,$167.11 ,$35.39 ,$426.41 ,$35.67
7/29/2022,$162.51 ,$159.31 ,$18.16 ,$10.35 ,$50.51 ,$297.15 ,$224.90 ,$159.10 ,$36.31 ,$413.81 ,$34.30
7/22/2022,$154.09 ,$158.16 ,$17.32 ,$9.84 ,$51.23 ,$272.24 ,$220.44 ,$169.27 ,$39.20 ,$394.74 ,$32.48
7/15/2022,$150.17 ,$147.74 ,$15.76 ,$9.04 ,$51.75 ,$240.07 ,$189.11 ,$164.70 ,$38.62 ,$398.38 ,$31.60
7/8/2022,$147.04 ,$139.07 ,$15.84 ,$10.17 ,$53.17 ,$250.76 ,$186.98 ,$170.88 ,$37.99 ,$420.35 ,$31.99
7/1/2022,$138.93 ,$139.84 ,$14.52 ,$9.27 ,$52.31 ,$227.26 ,$179.95 ,$160.03 ,$36.34 ,$433.52 ,$25.70
6/24/2022,$141.66 ,$141.53 ,$17.13 ,$10.19 ,$51.59 ,$245.71 ,$190.85 ,$170.16 ,$38.61 ,$419.04 ,$29.50
6/17/2022,$131.56 ,$136.80 ,$15.88 ,$8.24 ,$46.53 ,$216.76 ,$175.51 ,$163.74 ,$36.97 ,$404.01 ,$26.24
6/10/2022,$137.13 ,$127.00 ,$16.97 ,$8.26 ,$49.97 ,$232.23 ,$182.94 ,$175.57 ,$39.18 ,$430.19 ,$28.36
6/3/2022,$145.38 ,$139.25 ,$18.72 ,$8.94 ,$53.20 ,$234.52 ,$198.98 ,$190.78 ,$43.39 ,$442.69 ,$30.19
5/27/2022,$149.64 ,$132.23 ,$18.81 ,$8.85 ,$53.91 ,$253.21 ,$195.19 ,$195.13 ,$44.55 ,$450.56 ,$30.96
